0105                       STD DEV   1.8   0.8   2.1   2.8   5.3   6.8   5.2   5.3   6.3   4.8   0.8   0.5  2.40
0105                 51-80 AVERAGE    11     5    19    47   168   324   417   402   255    73     7     4  1732
0105                       STD DEV   1.3   0.7   1.4   2.4   5.2   6.2   5.3   5.0   6.1   3.2   0.6   0.6  1.97
0105                 61-90 AVERAGE     8     3    20    41   156   317   412   393   243    74    11     4  1682
0105                       STD DEV   1.2   0.5   1.4   2.3   4.8   5.2   5.2   4.5   6.0   3.8   1.3   0.7  1.70
0105                 71-00 AVERAGE    11     4    22    35   155   320   430   401   244    74    11     5  1712
0105                       STD DEV   1.2   0.5   1.5   2.1   5.1   5.3   4.9   4.8   5.3   3.7   1.3   0.7  1.72
0106                 31-00 AVERAGE    22    11    33    69   230   407   494   478   320   112    15    10  2202
0106                       STD DEV   2.3   1.2   2.5   3.3   6.1   5.9   4.7   5.1   6.6   4.9   1.4   1.1  2.21
0106                 31-60 AVERAGE    31    15    36    77   253   437   505   499   343   136    16    12  2360
0106                       STD DEV   3.0   1.4   3.0   3.0   6.0   5.3   4.5   4.7   6.4   5.3   1.4   1.2  1.56
0106                 41-70 AVERAGE    22    13    32    85   245   414   490   481   321   119    13     8  2242
0106                       STD DEV   2.6   1.3   2.7   3.4   5.7   6.1   4.9   5.6   6.3   5.5   1.0   0.8  2.01
0106                 51-80 AVERAGE    17    10    31    76   224   395   489   474   322   100    12     8  2156
0106                       STD DEV   1.5   1.2   2.1   3.4   6.2   6.3   5.1   5.7   7.0   4.1   1.0   1.0  2.20
0106                 61-90 AVERAGE    13     8    32    66   209   384   478   459   304    94    15     8  2071
0106                       STD DEV   1.4   0.9   2.0   3.4   5.4   5.3   4.6   4.4   6.9   4.2   1.4   1.0  1.79
0106                 71-00 AVERAGE    16     9    32    55   208   387   493   467   305    95    15     8  2091
0106                       STD DEV   1.4   0.7   2.0   3.0   5.7   5.5   4.5   4.8   6.4   4.0   1.5   1.0  1.92
0107                 31-00 AVERAGE    26    17    40    82   239   404   479   465   322   114    20    11  2218
0107                       STD DEV   2.6   1.5   2.8   3.7   5.9   5.4   4.1   4.4   5.8   4.8   1.6   1.1  1.98
0107                 31-60 AVERAGE    35    22    42    89   260   432   489   484   338   133    19    13  2355
0107                       STD DEV   3.2   1.8   3.4   3.3   5.8   4.7   3.6   4.1   5.7   5.2   1.3   1.2  1.36
0107                 41-70 AVERAGE    27    19    37   100   255   415   477   470   323   119    17     9  2267
0107                       STD DEV   2.9   1.8   3.0   3.9   5.5   5.6   4.0   4.8   5.6   5.3   1.2   0.8  1.82
0107                 51-80 AVERAGE    21    14    37    89   235   394   474   461   326   101    16     9  2178
0107                       STD DEV   2.1   1.6   2.4   3.9   6.1   5.8   4.2   5.0   6.4   4.0   1.2   1.1  1.96
0107                 61-90 AVERAGE    18    12    38    80   220   384   466   448   312    99    22    10  2107
0107                       STD DEV   1.9   1.2   2.1   3.9   5.2   4.7   4.2   3.7   6.2   4.4   1.9   1.2  1.62
0107                 71-00 AVERAGE    21    13    40    66   219   384   476   456   312   100    22    10  2118
