0105                       STD DEV  13.2  12.8  10.6   4.9   1.9   0.3   0.0   0.0   1.0   5.4   7.7  10.4  3.36
0105                 51-80 AVERAGE   682   534   382   138    42     3     0     0    16   171   393   604  2964
0105                       STD DEV  14.3  12.3   9.7   4.4   2.4   0.3   0.0   0.0   1.1   5.0   7.8  10.3  2.80
0105                 61-90 AVERAGE   717   547   368   149    48     3     0     0    18   170   368   608  2997
0105                       STD DEV  13.5  10.1   8.7   5.0   2.3   0.3   0.0   0.0   1.1   5.7   8.9  12.3  2.82
0105                 71-00 AVERAGE   684   516   352   162    50     3     0     0    17   168   365   599  2916
0105                       STD DEV  13.8   8.5   8.5   5.0   2.5   0.3   0.0   0.0   0.8   5.4   9.0  12.3  2.73
0106                 31-00 AVERAGE   587   433   300   100    18     0     0     0     6   111   318   528  2399
0106                       STD DEV  14.4  10.8   8.9   4.0   1.3   0.1   0.0   0.0   0.5   4.5   8.0  11.7  2.96
0106                 31-60 AVERAGE   523   401   295    89    14     0     0     0     4    91   313   502  2231
0106                       STD DEV  14.6  11.8   9.9   3.0   1.1   0.0   0.0   0.0   0.3   4.1   7.3  11.3  2.73
0106                 41-70 AVERAGE   578   432   315    84    14     0     0     0     6   106   327   535  2396
0106                       STD DEV  13.2  13.0   9.9   3.7   1.0   0.1   0.0   0.0   0.5   4.4   7.2  10.3  3.00
0106                 51-80 AVERAGE   618   460   314    92    20     0     0     0     6   124   338   540  2513
0106                       STD DEV  13.9  12.4   9.3   3.7   1.6   0.1   0.0   0.0   0.6   4.7   8.0  10.3  2.76
0106                 61-90 AVERAGE   653   474   304   102    22     0     0     0     7   128   315   546  2553
0106                       STD DEV  13.3  10.2   8.3   4.1   1.4   0.1   0.0   0.0   0.6   4.8   8.7  12.3  2.62
0106                 71-00 AVERAGE   621   445   293   117    23     0     0     0     7   126   316   541  2489
0106                       STD DEV  13.5   8.4   7.6   4.1   1.5   0.1   0.0   0.0   0.5   4.6   8.7  12.1  2.54
0107                 31-00 AVERAGE   539   399   268    85    12     0     0     0     3    90   289   480  2166
0107                       STD DEV  13.7  10.6   8.4   3.7   0.9   0.0   0.0   0.0   0.3   3.8   7.8  11.0  2.73
0107                 31-60 AVERAGE   484   367   268    77     9     0     0     0     2    77   291   460  2033
0107                       STD DEV  13.7  11.5   9.5   2.8   0.7   0.0   0.0   0.0   0.2   3.4   7.0  10.7  2.49
0107                 41-70 AVERAGE   532   396   281    71     9     0     0     0     3    87   298   487  2165
0107                       STD DEV  12.8  12.9   9.2   3.5   0.7   0.0   0.0   0.0   0.3   3.5   7.0  10.1  2.94
0107                 51-80 AVERAGE   568   428   278    79    13     0     0     0     3   102   307   496  2273
0107                       STD DEV  13.9  12.2   8.4   3.4   1.0   0.0   0.0   0.0   0.3   4.0   7.6   9.8  2.75
0107                 61-90 AVERAGE   599   440   269    87    15     0     0     0     4   103   283   495  2294
0107                       STD DEV  13.2  10.0   7.5   3.9   1.0   0.0   0.0   0.0   0.3   4.3   8.6  11.7  2.66
0107                 71-00 AVERAGE   568   411   258   100    16     0     0     0     3   101   280   488  2226
0107                       STD DEV  13.2   8.2   7.1   3.9   1.0   0.0   0.0   0.0   0.2   4.2   8.5  11.3  2.46
0108                 31-00 AVERAGE   461   332   217    58     3     0     0     0     0    51   219   392  1733
0108                       STD DEV  12.6   9.5   7.2   2.8   0.3   0.0   0.0   0.0   0.1   2.6   6.8  10.0  2.21
0108                 31-60 AVERAGE   425   316   224    59     3     0     0     0     0    47   231   386  1691
0108                       STD DEV  13.0  10.7   8.2   2.3   0.3   0.0   0.0   0.0   0.1   2.5   6.2   9.9  2.17
0108                 41-70 AVERAGE   459   333   230    50     2     0     0     0     0    49   224   395  1742
0108                       STD DEV  11.6  11.3   7.7   2.8   0.2   0.0   0.0   0.0   0.1   2.5   5.6   9.1  2.32
