COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
1799 1994      0     0     0     0     0    57   173    70     3     0     0     0    304
1799 1995      0     0     0     0     1    45   138    96     1     0     0     0    282
1799 1996      0     0     0     0     0    23    64    80     8     0     0     0    175
1799 1997      0     0     0     0     0    32   103    69     5     0     0     0    209
1799 1998      0     0     0     0     7     9   107    99    10     0     0     0    231
1799 1999      0     0     0     0     6    69   153    77    46     0     0     0    351
1799 2000      0     0     0     0     0    18    50    59     4     0     0     0    131
1899 1931      0     0     0     1    48   183   390   274   220    32     0     0   1150
1899 1932      6     0     0     0    46   180   312   307   124    15     0     0    990
1899 1933      0     0     0     2    83   226   282   277   167    12     0     0   1050
1899 1934      0     0     0     1    76   287   418   218   135     8     0     0   1142
1899 1935      0     0     2     0    26   178   372   290    71    10     1     0    949
1899 1936      0     0     2     0    87   177   339   331   149    25     0     0   1110
1899 1937      2     0     0     1    64   232   315   329    64     5     0     0   1011
1899 1938      0     0     1     3    36   166   339   350    83    11     0     0    990
1899 1939      0     0     0     1    90   236   277   354   136    17     0     0   1111
1899 1940      0     0     0     0    53   207   310   202    62     4     0     0    839
1899 1941      0     0     0    14    66   169   317   242   156    53     0     0   1017
1899 1942      0     0     0     6    97   204   327   230   117    18     0     0    999
1899 1943      0     0     0     0    90   338   322   335    82     6     0     0   1173
1899 1944      0     0     0     2   144   220   337   281   121     8     0     0   1112
1899 1945      0     0    12     5    27   192   283   226   178    11     0     0    934
1899 1946      0     0     7     1    55   145   273   163   115    26     1     0    785
1899 1947      0     0     0     4    47   144   255   342   113    50     0     0    955
1899 1948      0     0     0     1    48   184   316   251    95     5     0     0    900
1899 1949      0     0     0     1    57   213   410   289    53    38     0     0   1060
1899 1950      7     0     0     0    45   153   260   234    58    16     0     0    773
1899 1951      0     0     0     1    48   174   327   257   105    31     0     0    944
1899 1952      0     0     0     3    40   266   384   266    98     4     0     0   1061
1899 1953      0     0     0     3   118   204   363   270   109    20     0     0   1087
1899 1954      0     0     0     9    25   210   328   252   154    39     0     0   1017
1899 1955      0     0     0     8    79   113   463   369   109    20     0     0   1162
1899 1956      0     0     0     1    40   196   283   252    70    17     0     0    858
1899 1957      0     0     0     8    71   260   324   237   146     5     0     0   1052
1899 1958      0     0     0     3    40   117   352   242    86    10     0     0    851
1899 1959      0     0     0     8   102   219   339   359   160    35     0     0   1221
1899 1960      0     0     0    18    27   176   256   322   125    10     0     0    934
1899 1961      0     0     0     0    26   175   322   277   223    22     0     0   1045
1899 1962      0     0     0     4    94   190   234   257    52    16     0     0    846
1899 1963      0     0     1     2    39   181   312   225    48    21     1     0    830
1899 1964      0     0     0     1    78   216   334   215   123     4     0     0    971
1899 1965      0     0     0     1   116   154   293   258   154     7     0     0    985
1899 1966      0     0     0     0    47   208   382   311    74     5     0     0   1025
1899 1967      0     0     0     2    11   195   279   236    60     9     0     0    791
1899 1968      0     0     1     1    23   182   330   340   119    20     0     0   1016
1899 1969      0     0     0     6    65   236   329   254   100    10     0     0   1001
1899 1970      0     0     0     2    87   186   311   298   186    34     0     0   1105
1899 1971      0     0     0     0    31   221   281   236   153    58     0     0    981
1899 1972      0     0     0     0    45   104   312   246   131     6     0     0    844
1899 1973      0     0     2     0    31   254   328   332   150    23     0     0   1121
1899 1974      0     0     0     5    41   115   302   278    90     4     0     0    837
1899 1975      0     0     0     0    93   190   290   329    61    24     1     0    989
1899 1976      0     0     0     5    35   238   255   217    86     4     0     0    840
1899 1977      0     0     3     7    86   137   363   319   170     8     0     0   1092
1899 1978      0     0     0     1    38   186   267   355   134     8     0     0    989
1899 1979      0     0     2     0    62   117   262   269   110     7     0     0    830
1899 1980      0     0     0     4    76   136   366   362   195    11     0     0   1150
1899 1981      0     0     0    10    37   240   320   222    90     4     0     0    924
1899 1982      0     0     0     1    89   133   331   203    89    13     0     0    860
1899 1983      0     0     0     0    40   202   372   358   138    13     0     0   1122
1899 1984      0     0     0     1    47   235   272   303    63    56     0     0    978
1899 1985      0     0     0    13    78   151   315   261   127    22     2     0    970
1899 1986      0     0     0     4    98   252   408   232   124    26     0     0   1144
1899 1987      0     0     0     1    83   265   430   311   141     3     0     0   1235
1899 1988      0     0     0     1    56   211   420   379    89     1     0     0   1158
1899 1989      0     0     0     0    40   247   312   259   114    16     0     0    989
1899 1990      0     0     0     2    37   202   344   251    83    30     0     0    948
1899 1991      0     0     0     9   170   243   407   355   115    17     0     0   1316
1899 1992      0     0     0     1    24   133   336   195    95     5     0     0    790
1899 1993      0     0     0     2    79   199   432   336   133    10     0     0   1192
1899 1994      0     0     0    18    26   311   413   235    98     8     0     0   1110
1899 1995      0     0     1     2    55   214   414   378   121    36     0     0   1220
1899 1996      0     0     0     3    34   246   277   250   117    18     0     0    945
1899 1997      0     0     0     0    28   170   352   256   100    16     0     0    922
1899 1998      0     0     0     8   105   193   345   334   228    22     0     0   1235
1899 1999      0     0     0     4    70   205   446   318   119     6     0     0   1168
1899 2000      0     0     0     1    91   229   222   244    81    18     0     0    887
1999 1931      0     0     0     0    11    71   214   151    61     3     0     0    511
1999 1932      0     0     0     0    11    58   144   165    31     3     0     0    412
1999 1933      0     0     0     0    24    99   157   144    42     2     0     0    468
1999 1934      0     0     0     0    22    97   229    88    61     0     0     0    497
1999 1935      0     0     0     0     3    63   228   161    20     0     0     0    476
1999 1936      0     0     0     0    26    67   155   146    28     2     0     0    423
1999 1937      0     0     0     0    15    74   204   253    31     0     0     0    577
1999 1938      0     0     0     0     4    80   186   218    18     4     0     0    510
1999 1939      0     0     0     0    12    68   179   231    34     2     0     0    525
1999 1940      0     0     0     0     5    44   173    91    22     0     0     0    334
1999 1941      0     0     0     1    12    88   179   115    45     2     0     0    442
1999 1942      0     0     0     0    24    76   161   128    35     2     0     0    426
1999 1943      0     0     0     0    14   143   204   131    22     1     0     0    515
1999 1944      0     0     0     0    43    69   227   221    48     1     0     0    608
1999 1945      0     0     0     0     2    72   179   127    69     1     0     0    449
1999 1946      0     0     0     0     8    64   148    77    45     6     0     0    347
1999 1947      0     0     0     0     5    45   241   205    35    16     0     0    547
1999 1948      0     0     0     0     3    33   215   197    45     1     0     0    493
1999 1949      0     0     0     0    14   151   299   218    21     7     0     0    710
1999 1950      0     0     0     0     5    76   171   126     9     1     0     0    387
1999 1951      0     0     0     0     8    49   196   120    34     3     0     0    410
1999 1952      0     0     0     0     4   117   295   157    41     1     0     0    613
1999 1953      0     0     0     0    14    94   170   127    44     3     0     0    451
1999 1954      0     0     0     0     3    66   134    91    11     7     0     0    310
1999 1955      0     0     0     0    22    54   300   233    26     2     0     0    636
1999 1956      0     0     0     0     3    94   129   142    10     0     0     0    378
1999 1957      0     0     0     0    13   143   191    93    47     2     0     0    489
1999 1958      0     0     0     0     2    27   185   146    32     0     0     0    391
1999 1959      0     0     0     0    22    42   214   210    69     3     0     0    560
1999 1960      0     0     0     0    12    75   145   141    25     0     0     0    399
1999 1961      0     0     0     0     4    88   163   150   102     6     0     0    513
1999 1962      0     0     0     0     4    73    91   103    12     0     0     0    283
1999 1963      0     0     0     0     7    82   212   111     5     5     0     0    422
1999 1964      0     0     0     0    19    60   177    56    14     0     0     0    325
1999 1965      0     0     0     0    19    52   140   146    25     1     0     0    382
1999 1966      0     0     0     0     4    81   202   149    16     0     0     0    452
1999 1967      0     0     0     0     1    91   196   141    19     2     0     0    449
1999 1968      0     0     0     0     2    47   220   122    35     4     0     0    430
1999 1969      0     0     0     0     5    81   138   206    34     0     0     0    463
1999 1970      0     0     0     0    11    57   209   172    32     2     0     0    483
1999 1971      0     0     0     0     4    82   178   159    61    12     0     0    495
1999 1972      0     0     0     0     6    40   178   113    33     0     0     0    371
1999 1973      0     0     0     0     5   111   203   223    29     1     0     0    572
1999 1974      0     0     0     0     1    49   172   160    33     0     0     0    415
1999 1975      0     0     0     0    26    61   237   157    13     0     0     0    495
1999 1976      0     0     0     0     7   135   145   120    19     0     0     0    426
1999 1977      0     0     0     0    14    40   178   159    25     0     0     0    417
1999 1978      0     0     0     0     8    65   148   162    10     0     0     0    394
1999 1979      0     0     0     0    16    53   220   129    23     0     0     0    441
1999 1980      0     0     0     0     6    36   217   185    41     0     0     0    485
1999 1981      0     0     0     0     9    90   198   122    18     0     0     0    437
1999 1982      0     0     0     0     7    19   181    83    21     0     0     0    310
1999 1983      0     0     0     0     4    93   224   166    66     1     0     0    555
1999 1984      0     0     0     0     5    98   172   195    13     2     0     0    484
1999 1985      0     0     0     0     8    29   187   127    33     1     0     0    383
1999 1986      0     0     0     0     9    39   133    99    12     0     0     0    293
1999 1987      0     0     0     0     8    72   182   103    26     0     0     0    391
1999 1988      0     0     0     0     7    59   229   238    26     0     0     0    560
1999 1989      0     0     0     0    14    71   160   142    31     0     0     0    419
1999 1990      0     0     0     0     2    68   184   187    21     4     0     0    466
1999 1991      0     0     0     0    32    83   183   190    18     1     0     0    507
1999 1992      0     0     0     0     4    55    98   105    23     0     0     0    285
1999 1993      0     0     0     0    12    71   201   188    32     0     0     0    504
1999 1994      0     0     0     0     4   131   301   130    18     0     0     0    585
1999 1995      0     0     0     0     4    82   251   162    15     4     0     0    518
1999 1996      0     0     0     0     4    86   155   154    29     1     0     0    429
1999 1997      0     0     0     0     3    78   188   136    29     0     0     0    433
1999 1998      0     0     0     0    18    52   201   188    52     2     0     0    513
1999 1999      0     0     0     0    12   144   274   151    74     1     0     0    655
1999 2000      0     0     0     0     9    72   111   111    25     0     0     0    329
2099 1931      0     0     0     0    21   138   299   184   119    14     0     0    775
2099 1932      0     0     0     0    38   129   197   181    34     5     0     0    583
2099 1933      0     0     0     0    44   225   258   146   102     4     0     0    779
2099 1934      0     0     0     0    69   218   289   133    65     4     0     0    777
2099 1935      0     0     0     0     7    66   304   190    28     3     0     0    597
2099 1936      0     0     0     0    73    75   268   220    69     4     0     0    709
2099 1937      0     0     0     0    29    87   213   241    36     1     0     0    606
2099 1938      0     0     0     0    29    88   217   248    30    10     0     0    622
2099 1939      0     0     0     0    60   146   214   192    78     7     0     0    697
2099 1940      0     0     0     0    18   108   219   153    30     6     0     0    535
2099 1941      0     0     0     5    53   134   234   153    81     9     0     0    667
2099 1942      0     0     0     3    38   120   202   146    26     3     0     0    538
2099 1943      0     0     0     0    23   186   208   176    19     2     0     0    614
2099 1944      0     0     0     0    74   162   208   220    57     2     0     0    722
2099 1945      0     0     5     0     6    57   136   148    47     2     0     0    401
2099 1946      0     0     4     0    18    89   205    98    49    17     0     0    480
2099 1947      0     0     0     0     9    66   146   327    57    40     0     0    646
2099 1948      0     0     0     2    13    75   211   171    79     1     0     0    552
2099 1949      0     0     0     0    48   201   287   191    10    16     0     0    753
2099 1950      0     0     0     0    38    97   132   116    26    13     0     0    423
2099 1951      0     0     0     0    44    84   172   111    19    11     0     0    442
2099 1952      0     0     0     1    23   188   274   151    52     1     0     0    689
2099 1953      0     0     0     0    48   159   223   204    43    12     0     0    689
2099 1954      0     0     0     1    13   172   168   134    57     7     0     0    553
2099 1955      0     0     0     8    48   101   358   292    55    10     0     0    873
2099 1956      0     0     0     0    24   140   149   153    16    17     0     0    499
2099 1957      0     0     0     0    22   121   198   137    31     2     0     0    510
2099 1958      0     0     0     1    26    40   177   152    39     7     0     0    442
2099 1959      0     0     0     1    68   134   208   291    85     5     0     0    791
2099 1960      0     0     0     3    22    75   140   166    79     4     0     0    490
2099 1961      0     0     0     0    16    90   191   164   105    12     0     0    579
2099 1962      0     0     0     1    90   110   135   153    20     7     0     0    516
2099 1963      0     0     0     0    20   134   206   105    20    31     1     0    516
2099 1964      0     0     0     1    65   121   240    99    37     1     0     0    564
2099 1965      0     0     0     1    70    81   120   115    52     3     0     0    441
2099 1966      0     0     0     0    10   145   252   130    24     2     0     0    562
2099 1967      0     0     0     0    10   169   134    93    18     4     0     0    428
2099 1968      0     0     0     0    15   104   171   186    63     7     0     0    546
2099 1969      0     0     0     1    24    48   195   209    52     3     0     0    533
2099 1970      0     0     0     2    50   113   215   185    52     9     0     0    626
2099 1971      0     0     0     0    25   189   149   139    78    38     0     0    617
2099 1972      0     0     0     0    46    52   177   135    42     1     0     0    452
2099 1973      0     0     0     0    18   162   211   217    53    15     0     0    676
2099 1974      0     0     0     1    14    83   224   173    19     1     0     0    515
2099 1975      0     0     0     0    81   122   202   190    10     6     0     0    610
2099 1976      0     0     0     0    18   157   191   120    27     1     0     0    514
2099 1977      0     0     0     4    88    63   254   125    50     2     0     0    585
2099 1978      0     0     0     0    37    90   152   167    84     2     0     0    532
2099 1979      0     0     0     0    26   102   151   111    43     3     0     0    435
2099 1980      0     0     0     1    38    54   213   211    50     0     0     0    568
2099 1981      0     0     0     1    19   117   194   153    24     0     0     0    507
2099 1982      0     0     0     1    92    47   209   115    27     7     0     0    497
2099 1983      0     0     0     0    15   121   285   241    59     3     0     0    723
2099 1984      0     0     0     0    15   168   170   221    26    10     0     0    611
2099 1985      0     0     0     4    51    50   174   122    56     5     0     0    462
2099 1986      0     0     0     2    42    90   235   104    51     6     0     0    531
2099 1987      0     0     0     2    72   179   287   161    54     0     0     0    753
2099 1988      0     0     0     1    56   149   298   260    50     0     0     0    813
2099 1989      0     0     0     0    25    99   213   141    24     4     0     0    507
2099 1990      0     0     0     0    18   109   177   141    44     3     0     0    492
2099 1991      0     0     0     3   100   175   226   193    26     8     0     0    731
2099 1992      0     0     0     0    28    52   100    77    25     1     0     0    284
2099 1993      0     0     0     1    35    81   241   212    14     1     0     0    584
2099 1994      0     0     0     1    21   140   192   101    49     6     0     0    510
2099 1995      0     0     0     0    33   153   239   299    24     8     0     0    756
2099 1996      0     0     0     0    21   127   123   192    39     5     0     0    507
2099 1997      0     0     0     0     6   128   176    90    28     4     0     0    433
2099 1998      0     0     0     3    91   108   203   196    91     7     0     0    698
2099 1999      0     0     0     2    54   154   296   127    53     2     0     0    689
2099 2000      0     0     0     0    53   107   115   139    27     9     0     0    449
2199 1931      0     0     0     1    17   190   245   122    83     8     0     0    666
2199 1932      0     0     0     1    32   152   211   160    18     0     0     0    574
2199 1933      0     0     0     0    33   269   264   113    71     1     0     0    751
2199 1934      0     0     0     2   114   146   215   101     6     3     0     0    588
2199 1935      0     0     0     0     8    48   310   153    20     1     0     0    540
2199 1936      0     0     0     0    68    73   361   194    55     1     0     0    750
2199 1937      0     0     0     0    32    70   227   269    38     0     0     0    637
2199 1938      0     0     0     0    15    91   179   201    29    11     0     0    526
2199 1939      0     0     0     0    66    99   208   135    43     1     0     0    552
2199 1940      0     0     0     0    16    84   209    92    43    10     0     0    456
2199 1941      0     0     0     6    56    97   211   143    31     2     0     0    546
2199 1942      0     0     0     3    12    66   130   122     7     1     0     0    341
2199 1943      0     0     0     0    13   117   216   148     7     1     0     0    503
2199 1944      0     0     0     0    43    99   130   128    20     1     0     0    422
2199 1945      0     0     0     0     6    28   126   126    15     1     0     0    301
2199 1946      0     0     2     2    10    80   172    85    12     2     0     0    366
2199 1947      0     0     0     0     8    46   179   282    27    26     0     0    568
2199 1948      0     0     0     3    21    76   202   155    69     3     0     0    528
2199 1949      0     0     0     1    44   141   230   199    11     2     0     0    629
2199 1950      0     0     0     0    17    92   117    68    22     7     0     0    323
2199 1951      0     0     0     0    45    43   146    81     5     1     0     0    322
2199 1952      0     0     0     3    24   125   183   101    36     0     0     0    474
2199 1953      0     0     0     0    27   120   158   174    23    12     0     0    514
2199 1954      0     0     0     1     7   132   187   107    18     0     0     0    452
2199 1955      0     0     0    11    51    92   293   231    26     3     0     0    707
2199 1956      0     0     0     0    28   154   104   118     8    11     0     0    424
2199 1957      0     0     0     0    18    76   258   126    12     1     0     0    490
2199 1958      0     0     0     1    33    28   114   132    28     3     0     0    340
2199 1959      0     0     0     1    42   130   186   209    31     0     0     0    598
2199 1960      0     0     0     1    21    59   175   172    32     2     0     0    463
2199 1961      0     0     0     0    19   115   146   181    19     2     0     0    483
2199 1962      0     0     0     0    47    74   105   124     9     2     0     0    362
2199 1963      0     0     0     1    19   141   203   114    31    25     0     0    532
2199 1964      0     0     0     2    50   100   250    87    14     1     0     0    503
2199 1965      0     0     0     0    33    74   134   109     2     2     0     0    353
2199 1966      0     0     0     0    12   111   256    90    17     1     0     0    488
2199 1967      0     0     0     0     7    81   128    83    20     0     0     0    320
2199 1968      0     0     1     0    12    89   144   123    20     2     0     0    391
2199 1969      0     0     0     3    29    25   165   195    33     0     0     0    451
2199 1970      0     0     0     0    25   135   222   149    23     2     0     0    556
2199 1971      0     0     0     0    16   154    94   100    24     6     0     0    394
2199 1972      0     0     0     0    52    78   114   120    14     0     0     0    379
2199 1973      0     0     0     0    17   110   163   179    15     8     0     0    493
2199 1974      0     0     0     0    10    79   260    86     4     1     0     0    441
2199 1975      0     0     0     0    49    90   242   135     6     2     0     0    525
2199 1976      0     0     0     4    22   139   208   165    27     0     0     0    565
2199 1977      0     0     0     9   110   103   215    59    19     1     0     0    516
2199 1978      0     0     0     0    41    84   139   128    60     2     0     0    455
2199 1979      0     0     0     0    12    79   161    88    32     1     0     0    372
2199 1980      0     0     0     3    47    89   208   126    20     0     0     0    494
2199 1981      0     0     0     2    20    82   163   121    18     0     0     0    406
2199 1982      0     0     0     0    46    34   202   120    14     2     0     0    418
2199 1983      0     0     0     0    12    89   272   251    33     0     0     0    659
2199 1984      0     0     0     2    17   110   159   200     9     2     0     0    499
2199 1985      0     0     0     4    53    45   157    67    12     1     0     0    340
2199 1986      0     0     0     2    36   117   207    78    16     2     0     0    459
2199 1987      0     0     0     8    60   163   253   107    33     0     0     0    625
2199 1988      0     0     0     2    90   200   280   199    36     0     0     0    806
2199 1989      0     0     0     0    25    85   246   143    19     2     0     0    521
2199 1990      0     0     0     0    17   120   151   134    46     1     0     0    469
2199 1991      0     0     0     3    55   166   164   166    16     1     0     0    571
2199 1992      0     0     0     0    46    61    59    61    14     1     0     0    242
2199 1993      0     0     0     0    21    53   134   143     5     0     0     0    355
2199 1994      0     0     0     0    47   127   126    82    42     4     0     0    428
2199 1995      0     0     0     0    25   161   180   213    19     1     0     0    601
2199 1996      0     0     0     0    16   108   126   142    25     3     0     0    421
2199 1997      0     0     0     0    10   146   154    96    36     5     0     0    448
2199 1998      0     0     0     6    79    65   186   171    76     4     0     0    588
2199 1999      0     0     0     2    47    98   262   130    21     0     0     0    560
2199 2000      0     0     0     0    42    64   169   155    19     4     0     0    454
2299 1931     10    12     8    45   143   430   500   397   429   180    46    31   2231
2299 1932     37    53    12    95   180   451   578   514   302    77     2     6   2308
2299 1933     38     9    35    67   346   404   478   481   458   135    15    38   2504
2299 1934     26     4    25    85   230   467   545   545   296   160    30     5   2417
2299 1935     20    11    93    74   245   359   524   544   303   144    16     0   2332
2299 1936      9     3    65    45   249   483   523   523   443   133     7     9   2494
2299 1937     66     8    14    79   278   450   479   521   296    78     5     6   2279
2299 1938     17    32   119    68   263   384   512   537   327   138    14     5   2417
2299 1939     27    17    55    50   216   433   517   477   404   147     6    11   2358
2299 1940      0     4    30    54   160   358   430   452   251   115    10    18   1882
2299 1941     19     2    11   109   261   424   503   514   385   257    10    12   2506
2299 1942      6     2    29    84   207   424   518   453   261   123    27     8   2143
2299 1943     18    13    18    93   326   513   561   577   252    69     4     5   2449
2299 1944     14    32    37    62   244   486   507   494   344    95    14     2   2331
2299 1945     13    19   111    98   159   414   455   468   377    84    29     1   2229
2299 1946     15    13    68   122   182   355   459   428   281   114    39    15   2089
2299 1947     21     1     9    93   193   397   417   542   362   211    11     7   2263
2299 1948      2    10    47   133   236   450   544   453   246    69    17    15   2222
2299 1949     39    19    23    55   265   416   498   452   268   176    11    14   2236
2299 1950     96    26    17    36   290   395   423   409   261   150     6     3   2112
2299 1951     17    10    37    41   226   421   518   577   339   142     3    16   2345
2299 1952     49    19    20    38   230   516   546   515   265    28     5     5   2236
2299 1953     26    10    66    46   292   538   487   454   302   126    10     2   2358
2299 1954     19    21    25   145   115   456   569   595   403   133     7     4   2491
2299 1955     10     9    61   119   295   295   482   472   379    90     7     6   2227
2299 1956      8    24    24    57   299   354   509   489   264   132     7    28   2195
2299 1957     25    41    19    98   247   417   492   452   261    47    13     9   2121
2299 1958      3     0    12    71   219   397   474   447   338    80    20     1   2060
2299 1959      7    11    17    59   281   366   461   480   320   148     5     5   2159
2299 1960      9     1     4    94   151   407   533   461   310   120    14     1   2103
2299 1961      2    18    50    28   165   296   413   404   299    74    11     6   1765
2299 1962      6    38    11    52   310   375   535   503   325   143     6     1   2307
2299 1963      2     0    64   124   257   418   455   477   286   152    20     0   2256
2299 1964      7     0    29   109   244   412   457   458   314    48    24     7   2108
2299 1965     18     4    11   144   260   368   491   443   320    72    37     7   2175
2299 1966      3     4    22    76   198   327   529   406   270    56    17     3   1912
2299 1967     12     2    67   157   171   391   381   353   179    58     6    12   1790
2299 1968      7     0    16    86   187   404   447   463   223   102     6     1   1942
2299 1969     12     5     5    86   198   411   544   419   258   107     6     3   2054
2299 1970      2     2    18   122   219   363   445   466   396    93     2    13   2141
2299 1971     14     5    12    51   131   423   450   417   328   174     8    34   2049
2299 1972     25     8    37    82   191   373   422   475   415   113     4     7   2150
2299 1973      7     3    67    36   166   408   502   403   341   160    42     3   2139
2299 1974     42     8    79    53   263   290   467   430   207    58    10     6   1914
2299 1975     25    15    25    49   252   370   462   443   204    98    16     3   1962
2299 1976      6    26    49    67   104   314   446   419   264    38     0     0   1736
2299 1977      0     6    47    87   268   468   521   479   371    65    19     4   2334
2299 1978      0     0    15    87   215   410   520   473   363    77    39     6   2204
2299 1979      1     2    34    82   175   349   476   445   253    97     4     1   1921
2299 1980     18     1    19    38   213   412   586   540   432    63     6     3   2329
2299 1981      3     6    23   159   152   460   529   482   237    81    22     2   2155
2299 1982     11     6    55    49   255   380   489   460   246    88    16    19   2072
2299 1983      7     5    14    21   170   311   499   515   248    94    13     0   1897
2299 1984      3     8    22    51   180   377   433   404   251   191     8    38   1967
2299 1985      0     3    67    78   214   399   445   444   265   145    57     1   2118
2299 1986      9    17    25    69   235   430   547   436   376   102    30     2   2279
2299 1987      6     9    25    38   293   375   478   515   287    31    13    12   2082
2299 1988      3     3    22    67   164   378   467   489   323    45    23     4   1987
2299 1989     32     5    37    42   184   346   430   433   248    66    19     0   1841
2299 1990     24    26    39    46   187   412   459   481   357    70    17    12   2129
2299 1991     10    11    38   103   275   395   495   436   281   112     2    14   2172
2299 1992      8    15    27    48   161   333   481   351   269    81     4     7   1785
2299 1993     19     5    13    21   162   395   525   503   295    77     7     4   2027
2299 1994      5     9    29    88   169   416   424   406   249    99    29    10   1932
2299 1995     12     7    45    69   251   328   504   544   284    88     4     3   2140
2299 1996      9     6    10    41   292   375   480   417   252    87    11    10   1991
2299 1997     11    12    69    20   159   327   500   423   326    91     3     1   1943
2299 1998     20     9    21    50   285   495   552   509   409   151    29    12   2541
2299 1999     25    20    20   142   202   399   509   545   275    85    19     5   2246
2299 2000     19    20    54    42   299   391   531   556   316   102     8     0   2336
2399 1931      0     0     0     7    49   348   457   297   300    58     6     1   1523
2399 1932      1     1     0    21   111   291   435   354   125    17     0     0   1356
2399 1933      4     0     4     6   115   388   426   305   280    24     0     0   1552
2399 1934      0     0     1    14   170   449   650   462    92    42     3     0   1882
2399 1935      0     0    16     2    40   164   475   372   135    22     0     0   1226
2399 1936      0     0    14     3   167   319   628   589   251    26     0     0   1997
2399 1937      0     0     0     7   112   266   391   459   161    20     0     0   1416
2399 1938      0     2    26    11    92   220   439   473   202    85     1     0   1550
2399 1939      0     0     8     4   141   276   441   299   286    60     0     0   1516
2399 1940      0     0     1     5    64   256   383   315   144    79     0     0   1245
2399 1941      0     0     0    30   162   265   422   424   203    57     0     0   1563
2399 1942      0     0     6    22    76   245   407   298   120    23     1     0   1198
2399 1943      0     0     0    11    74   308   429   430    97    17     0     0   1365
2399 1944      0     0     0     4   157   327   372   321   150    34     1     0   1366
2399 1945      0     0    24     9    40   149   297   347   155    18     1     0   1040
2399 1946      0     2    37    22    48   261   408   266   127    50     0     0   1222
2399 1947      0     0     0     8    57   218   299   553   213   108     0     0   1455
2399 1948      0     0     2    34    74   242   369   336   184    17     0     0   1258
2399 1949      0     0     1     6   139   293   413   306    58    30     1     0   1248
2399 1950      0     0     0     3   112   228   239   198   104    79     0     0    962
2399 1951      0     0     0     3   104   182   365   327    90    32     0     0   1103
2399 1952      0     0     0     6   102   449   439   315   144     8     0     0   1464
2399 1953      0     0     6     1   115   440   426   375   212    54     1     0   1630
2399 1954      0     4     1    48    43   361   578   439   255    34     0     0   1764
2399 1955      0     0     4    49   123   161   497   399   209    31     0     0   1473
2399 1956      0     0     3     6   160   289   376   401   178    86     0     0   1500
2399 1957      0     0     0    11   100   252   437   369   111    12     0     0   1293
2399 1958      0     0     0     9   105   197   318   346   149    26     2     0   1153
2399 1959      0     0     4    11   156   268   318   422   175    22     0     0   1377
2399 1960      0     0     0    25    64   225   312   375   225    38     0     0   1264
2399 1961      0     0     6     1    50   195   339   296   138    32     0     0   1056
2399 1962      0     0     0    11   246   235   356   361   102    43     0     0   1353
2399 1963      0     0    13    22    95   316   389   333   162   137     5     0   1471
2399 1964      0     0     1    25   156   238   414   300   156    14     2     0   1306
2399 1965      0     0     0    35   173   239   336   299   144    22     1     0   1249
2399 1966      0     0     9     2    65   214   486   244    86    12     0     0   1119
2399 1967      0     0    13    20    49   226   271   210    87    20     0     0    897
2399 1968      0     0     8     9    55   283   340   323   114    25     0     0   1157
2399 1969      0     0     0    16    92   185   440   320   141    15     0     0   1210
2399 1970      0     0     0    19   141   211   364   360   186    22     0     0   1304
2399 1971      0     0     1    12    61   356   293   285   185    79     1     0   1272
2399 1972      0     0     6    11   101   239   347   333   192    17     0     0   1245
2399 1973      0     0    16     3    62   267   378   353   160    55     2     0   1296
2399 1974      0     0    12    16    98   156   451   272    47    22     0     0   1073
2399 1975      0     0     0     9   130   259   376   382    79    27     2     0   1263
2399 1976      0     5    12    14    41   200   387   291   135     7     0     0   1092
2399 1977      0     0    13    34   171   279   444   324   178    18     0     0   1461
2399 1978      0     0     1    15    69   253   410   317   229    17     0     0   1311
2399 1979      0     0     4     4    81   227   335   307   122    29     0     0   1108
2399 1980      0     0     0     6    94   282   577   487   204    14     0     0   1663
2399 1981      0     0     6    52    41   277   389   273   127    14     0     0   1177
2399 1982      0     0     4     3   138   137   392   280   110    19     0     0   1084
2399 1983      0     0     2     0    56   223   457   520   173    26     4     0   1460
2399 1984      0     0     0     4    55   298   320   374   111    30     0     0   1193
2399 1985      0     0    13    23   104   171   361   254   137    29     0     0   1091
2399 1986      0     0    14    24   116   327   468   230   201    31     0     0   1411
2399 1987      0     0    10    14   188   310   408   365   137     4     0     0   1436
2399 1988      0     0     4     9   124   304   385   420   162     5     0     0   1412
2399 1989      2     0     6    11    59   189   349   299    74    24     2     0   1016
2399 1990      2     0     9     6    53   278   364   321   214    14     5     0   1268
2399 1991      0     1    12    24   180   322   402   351   138    33     0     0   1465
2399 1992      0     0    10     9    67   177   332   185   106    20     0     0    905
2399 1993      0     0     0     2    85   225   404   386    73     9     0     0   1184
2399 1994      0     0     6    10    68   305   321   282   106    27     1     0   1126
2399 1995      0     0     7     5    51   221   379   459    90    25     0     0   1239
2399 1996      0     0     0     6   110   234   303   309    88    23     0     0   1074
2399 1997      0     0     9     0    43   213   388   280   148    27     0     0   1109
2399 1998      0     0     0    11   172   252   390   367   256    33     1     0   1482
2399 1999      0     2     0    19    83   236   460   328   117    19     8     0   1271
2399 2000      0     1    11     8   136   193   337   429   156    43     0     0   1313
2499 1931      0     0     0     0     6    72   132   106    22     0     0     0    337
2499 1932      0     0     0     0     5    36   101    73    15     0     0     0    231
