COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0299 1955      0     1    23    63   201   428   535   521   408   244    18     2   2444
0299 1956      6     1    36    77   288   557   651   539   507   159    11     0   2831
0299 1957      3    30    30    78   171   538   681   573   407   131     4     0   2646
0299 1958      1    11     8    82   379   538   668   634   430   209    18     3   2980
0299 1959      3     4    40   165   221   583   711   551   393   170    25     0   2864
0299 1960      0     2    56   112   250   582   684   624   480   136    22     0   2947
0299 1961      4     9    26   112   236   572   673   582   339   134     9     0   2697
0299 1962      1     7    10   177   195   429   624   668   450   173    41     3   2777
0299 1963      1    25    20    66   314   383   694   535   467   234    25     1   2764
0299 1964      0     0    11    68   213   427   668   530   351   234     9     0   2511
0299 1965      2     4    11    68   166   311   640   596   326   201    41     1   2367
0299 1966      0     1    35   115   317   488   671   615   405   142    30     1   2820
0299 1967      1    10    40    38   215   388   642   599   406   185    52     0   2578
0299 1968      2    19    21    69   231   482   587   467   378   158    18     0   2432
0299 1969      4     3    10   103   280   416   663   694   459   103    20     1   2755
0299 1970      1    15    14    47   289   500   701   630   342    85    20     0   2644
0299 1971      1     6    34    70   163   443   703   544   399    80    12     0   2455
0299 1972      0    15   103   106   248   484   690   565   390   131     5     0   2738
0299 1973      0     6     5    63   294   486   637   618   381   170    15     0   2676
0299 1974      1     4    36    91   277   600   601   550   410   176    19     0   2765
0299 1975      0     3    12    29   190   426   628   598   416   140    16     0   2458
0299 1976      2    14    18    71   279   476   610   564   341   113    23     0   2511
0299 1977      1    12    11   114   164   537   674   636   433   227    33     4   2847
0299 1978      3     7    46    72   228   546   676   576   405   241    24     0   2825
0299 1979      0     4    16    89   225   496   652   514   508   216     9     2   2731
0299 1980      5    14    15    87   173   508   714   594   433   174    25     8   2748
0299 1981      8    14    26   160   260   605   680   658   459   129    39     2   3040
0299 1982      1    12    21   105   244   426   625   630   424   124    16     0   2629
0299 1983      2     7    17    46   251   435   662   585   516   186    19     1   2727
0299 1984      3     9    45    88   409   480   607   567   458   102    15     0   2784
0299 1985      0     5    26   160   312   558   686   632   299   155    13     0   2847
0299 1986     13    15    73   133   304   568   588   658   323   124    27     1   2826
0299 1987      1     8    23   184   283   554   599   583   398   264    24     0   2923
0299 1988      1    16    38   110   277   554   694   604   384   289    29     0   2997
0299 1989      1    14    81   237   319   529   722   598   467   182    35     1   3187
0299 1990      2     4    54   153   263   615   640   537   448   203    38     0   2957
0299 1991      2    30     9    85   222   409   648   635   439   248    22     3   2752
0299 1992      2    15    29   167   315   484   617   592   475   234    12     0   2944
0299 1993      4     7    41   124   342   501   615   604   426   188    20     1   2873
0299 1994      3     6    52   126   265   635   708   727   487   153     7     0   3169
0299 1995      2    29    37    79   202   446   691   718   521   217    62     3   3007
0299 1996      4    28    45   159   373   598   734   684   375   170    37     2   3209
0299 1997      3     9    87   107   435   475   667   662   534   165    33     0   3177
0299 1998      4     2    21    50   207   431   707   691   491   169    25     0   2800
0299 1999      5    15    43    56   267   511   620   632   472   256    69     1   2948
0299 2000      7    16    35   185   419   580   708   645   525   158     2     1   3281
0399 1931      0     3     2    17    84   385   490   353   384   128    17     5   1867
0399 1932      6    11     4    63   159   404   531   503   267    47     0     0   1993
0399 1933     10     0    15    30   215   388   497   426   390    68     3     6   2048
