HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
1399 1988      3     5   108   594   826  1226  1108  1422   969   484   234    55   7034
1399 1989      5    28   173   407   934  1583  1094  1037   780   503   297    34   6875
1399 1990     12    19    80   459   705  1387  1591  1005   800   411   134    13   6617
1399 1991      8    21   137   480  1089  1153  1181   926   810   567   212    53   6637
1399 1992     40    81   167   460   954  1261  1451  1276  1047   602   226    62   7628
1399 1993     15    25   247   494   935  1206  1687  1341   844   470   208    26   7496
1399 1994     23    46   101   369   757  1161  1447  1119   859   605   292    34   6813
1399 1995      8     6   185   452  1045  1272  1512  1180  1086   576   299    39   7659
1399 1996     21    32   164   427  1073  1389  1557  1113   858   613   357    36   7639
1399 1997      9    37   104   421   960  1161  1278   840   984   467   120    59   6440
1399 1998      9    12    56   396   729  1097  1490   899   897   455   199    46   6284
1399 1999      2    38   161   454   627  1180  1344   916   712   474   164    54   6125
1399 2000     14    17    99   343   969  1701 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1499 1930  -9999 -9999 -9999 -9999 -9999 -9999   908   676   817   374   193     7  -9999
1499 1931      1    10     7   180   534   805  1108   678   896   267   100    15   4601
1499 1932      0     4    66   322   765  1153   799   955   619   330   116     2   5132
1499 1933      1     8    20   272   545   817   930   837   687   281    61     1   4461
1499 1934      0     2    98   158   546  1027   984   760   466   414   212    40   4709
1499 1935      0     4    63   309   757  1021  1264  1219   533   345    71     5   5591
1499 1936      0     0    35   328   687   860  1361   943   811   351    86    11   5475
1499 1937      0     0    46   291   757  1070   984   785   459   329   133    16   4871
1499 1938      1     1    31   121   667   923   848   977   620   359    64     9   4622
1499 1939      0     6    12   189   648   837  1587   912   664   354   129    16   5353
1499 1940      0    10    46   145   755   915  1011   892   788   279    58    19   4920
1499 1941      1     3    39   238   616   838  1081   918   650   235   134    21   4774
1499 1942      0    10    83   256   590  1054  1122   720   817   244   174    11   5081
1499 1943      1     1    89   310   697  1102   961   795   804   476    85     7   5327
1499 1944      4     6    59   228   569  1107  1039   862   481   390   172    50   4966
1499 1945      6     4    56   276   591  1208   980   655   408   202   183    12   4582
1499 1946      0     7    63   226   641   839  1026   969   832   384   178    22   5188
1499 1947      5     0    18   107   768   958  1211   980   867   187   111    16   5228
1499 1948      4     7    37   294   668   955  1303   943   706   349    86     9   5361
1499 1949      1    13   119   233   508   958  1092   790   762   422   116    11   5024
1499 1950     19    29    85   158   750  1031  1088   830   821   444   119    41   5414
1499 1951      7     7   110   304   813  1071   973   726   825   396   123     1   5357
1499 1952      1     4    45   341   701  1056   940   713   576   431   143     1   4952
1499 1953      2     6    27   191   606   950  1118   565   741   196   203    13   4618
1499 1954      0     1    17   237   538   913  1037   980   706   187    76    36   4727
1499 1955      0     3    29   249   772  1057  1154   894   637   387    60     4   5246
1499 1956      1     1    22   140   672   901  1246   753   702   394   143    23   4999
1499 1957      0     4   102   339   722   801  1013  1025   944   385    84    15   5434
1499 1958      6     7    48   233   553  1050  1235   905   633   346    85     8   5108
1499 1959      8     1    65   373   807   834  1118  1062  1059   260   130    17   5736
1499 1960      6     5    38   219   605  1042  1089   795   651   415   173    22   5059
1499 1961      3    13   105   250   730  1166  1278   819   768   360    26    17   5535
1499 1962      5     5    85   193   624   971  1379   841   545   225    81     5   4959
1499 1963      0     3    28    76   558  1244   940   876   760   271    54    16   4826
1499 1964      0    12    55   289   575  1078  1008   931   976   247    59    17   5246
1499 1965      3     9    81   226   516   799  1209   937   560   401   115    16   4870
1499 1966      0    19    87   283   582  1055  1017   865   543   226   163    22   4861
1499 1967      9    19   101   278   684   973  1121   913   563   323   195    12   5190
1499 1968      3     8    72   233   735  1126  1161   870   915   303    98    35   5559
1499 1969      1     7    53   376   642  1023  1230   776   815   346    58    17   5342
1499 1970      2     1    66   361   721   903  1183  1010   725   287   154     6   5418
1499 1971      8    10    47   194   619   923  1159   865   544   301   129    10   4808
1499 1972      5     9    51   341   796  1169  1157   849   572   402   160    10   5521
1499 1973      3     5    86   188   588  1050  1244   764   557   279    69    27   4860
1499 1974      0    23   156   233   663   985  1025  1014   822   354   101    17   5394
1499 1975      2     4   108   218   609   919  1067   584   618   272   190    22   4613
1499 1976      2     5    63   435   834  1027  1401   745   545   229    56     7   5348
1499 1977      0    10    43   268   646  1010  1438  1225   755   267   144    13   5820
1499 1978      0     4    24   277   649  1057  1561  1185   656   370   144    18   5945
1499 1979      4    10    46   216   737   890  1081  1026   774   354   125     7   5272
1499 1980      0     1    39   301   593   926   996   785   590   141   172    12   4557
1499 1981      1    13    56   318   576  1027  1272  1013   650   395   105    47   5474
1499 1982      2     7    61   283   684   917  1045   824   688   530   192    30   5261
1499 1983      1     0    41   251   613  1527  1178   690   823   447   160    11   5742
1499 1984      3     2    75   303   621   924  1319  1043   558   237    85    29   5198
1499 1985      1    17    72   301   830  1207   853   824   472   227    97     6   4907
1499 1986      1    15    30   291   765   927  1075   691   597   279    58     8   4737
1499 1987      0     7    71   360   565   951  1194   928   663   355    77     3   5175
1499 1988      3     1    57   361   585   879   861  1131   636   236   113    33   4897
1499 1989      3    12   115   232   631  1265   844   772   589   367   183     7   5020
1499 1990      2     6    31   279   468  1110  1217   645   534   261    64     5   4622
1499 1991      0     5    56   256   830   846   868   644   527   320   136    43   4531
1499 1992      6    30    61   276   769  1007  1198   981   732   443   145    20   5668
1499 1993      3     6   124   346   765   898  1131   955   548   329   117     5   5227
1499 1994      6     7    70   241   596   887  1062   730   638   401   233    31   4902
1499 1995      2     2    89   263   694  1007  1172   807   819   347    88    10   5300
1499 1996      4    13   101   282   793  1017  1135   818   564   456   185    20   5388
1499 1997      2    11    44   259   716   986   990   695   812   376    54    11   4957
1499 1998      1     4    17   229   505   910  1064   620   673   313   120    26   4480
1499 1999      0     7    98   264   404   868   974   666   563   325    73    19   4262
1499 2000      3     0    34   204   805  1307 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1599 1930  -9999 -9999 -9999 -9999 -9999 -9999   892   705   783   330   159     8  -9999
1599 1931      0     3    10   187   344   630   694   553   791   322   115     7   3656
1599 1932      0     2    42   301   670   870   712   809   643   335    68     2   4455
1599 1933      0     3    14   301   627   693   820   986   711   298    84     3   4540
1599 1934      0     2    46   245   482   908   910   743   400   342   149    24   4251
1599 1935      0     2    54   237   566  1129  1154   963   501   404    75     3   5087
1599 1936      0     0    15   267   703   803   711   789   756   325   119     6   4495
1599 1937      0     0    69   332   693   949   941   585   420   231   100    15   4335
1599 1938      0     0    39   226   553   888   816   715   544   389   100     3   4273
1599 1939      0     2    11   213   683   850  1405   851   704   372   179    10   5280
1599 1940      0     2    75   222   612   724   924   931   801   221    77     6   4596
1599 1941      0     1    16   146   606   731  1044   912   556   246   108     5   4370
1599 1942      0     3    57   252   504   923   880   741   722   369    87     1   4539
1599 1943      0     1    82   309   651   966   887   668   659   334    51     1   4609
1599 1944      0     1    52   284   596  1025  1076   772   341   244   182    17   4590
1599 1945      0     1    24   306   544  1066   911   719   353   223   140    11   4298
1599 1946      1    19    51   228   454   738   800  1047   880   257   165    14   4653
1599 1947     11     0    37   135   652   876  1217   757   510   198   130     9   4533
1599 1948      0     3    45   353   486   792   697   642   634   369    97     5   4121
1599 1949      0     5   103   175   617   776   653   732   711   416    91    11   4290
1599 1950      4    11    63   174   751  1051   875   784   648   370   107     7   4846
1599 1951      0     2    57   235   767   818   761   691   633   311   109     1   4384
1599 1952      0     1    66   431   588   818   770   684   546   376    70     1   4352
1599 1953      0     1    38   209   603   903   908   596   663   163   200    10   4295
1599 1954      0     1    19   240   621   896   978   778   556   194    77    42   4401
1599 1955      0     0    22   279   659   950  1033   652   615   364    92     8   4674
1599 1956      0     4    72   186   622   629  1004   633   643   217    92     6   4109
1599 1957      0     2    41   365   583   741  1035  1061   781   307   116    20   5052
1599 1958      0     4    52   296   521  1066  1011   746   670   284    56    10   4715
1599 1959      0     0    27   244   669   792   881   899  1048   232   159    17   4967
1599 1960      1     0    32   238   579  1077  1108   671   520   457   206    26   4915
1599 1961      1     4    26   274   572   882  1042   691   711   400    39     8   4648
1599 1962      1     3    86   223   628  1041  1190   997   489   241   145    13   5058
1599 1963      3     7    67   161   548  1210   953   895   613   218    84     6   4766
1599 1964      0     3    56   369   482   824   931   825   788   249    50    10   4585
1599 1965      1     3    39   337   518   767  1151   839   590   354   161    18   4776
1599 1966      0     7    80   375   555   903   848   925   482   201   168    12   4556
1599 1967      6    16   102   296   702   791  1082  1015   613   275   145    13   5056
1599 1968      1     2    61   283   563   941  1021   818   830   264   103    10   4895
1599 1969      0     5    63   277   683  1014  1187   880   705   242    78    11   5146
1599 1970      1     1    16   248   598   776  1046   835   735   333   195     6   4789
1599 1971      3     6    21   140   565   617   894   839   643   296   116    33   4172
1599 1972      1     3    28   344   644   802   966   825   398   350   198     8   4566
1599 1973      0     2    20   181   490   871   765   746   481   269   107    35   3966
1599 1974      2     6   114   340   554   850   832   720   708   382    76     7   4590
1599 1975      1     1   100   238   484   845  1071   582   441   297   192    17   4269
1599 1976      3    11    93   448   817  1016  1461   865   479   209    62    13   5478
1599 1977      0     2    33   370   505   963  1312  1169   742   260   153    11   5520
1599 1978      0     1    29   349   476   839  1233  1026   542   325   148    15   4983
1599 1979      3     3    64   300   572   827   946   995   732   366   119    17   4942
1599 1980      0     0    31   356   630   863  1130   789   690   175   183    10   4856
1599 1981      0     5    79   315   549   980  1124   824   546   420    57    26   4925
1599 1982      0    10    76   254   507   642   964   768   592   440   178    16   4446
1599 1983      0     0    42   228   544  1108  1133   673   744   345   181     4   5002
1599 1984      3     3    68   149   652   623  1231   922   513   204    97    16   4482
1599 1985      1     5    55   177   366  1069   969   687   567   233    87     6   4222
1599 1986      0     7    25   244   572   884  1002   737   547   355    53     3   4430
1599 1987      0     1    57   433   462   792  1073   850   617   313   128    11   4736
1599 1988      0     0    67   466   542   860   766   872   539   319   185    15   4632
1599 1989      0     4    61   276   573  1243   726   576   503   339   158    12   4472
1599 1990      0     4    44   298   461   766   954   718   531   216    40     4   4035
1599 1991      0     3    42   246   637   743   914   646   608   292   157    35   4324
1599 1992      1    15    63   327   571   876   852   865   711   364   115    14   4774
1599 1993      0     2    70   335   614   903  1185   767   632   225   194     7   4933
1599 1994      0     6    79   264   424   730   934   843   528   277   125    10   4220
1599 1995      0     0    69   269   729   960  1013   807   780   383    85     8   5103
1599 1996      2     3    69   273   724   760  1013   654   527   448   223    25   4722
1599 1997      0     6    58   293   678   875   750   638   582   326    68     6   4281
1599 1998      0     1    16   225   499   750   853   667   728   230   102     8   4079
1599 1999      0     2    51   274   416   819   971   618   508   341    79     6   4085
1599 2000      1     3    61   208   627  1189 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1699 1930  -9999 -9999 -9999 -9999 -9999 -9999   503   294   356   107    18     0  -9999
1699 1931      0     0     0    23   108   258   318   153   304    52     5     0   1221
1699 1932      0     0     1    87   359   401   315   313   182    57     1     0   1716
1699 1933      0     0     0    42   184   188   385   363   244    44     4     0   1453
1699 1934      0     0     1    20   171   403   391   309   109    42     3     0   1448
1699 1935      0     0     1    27   231   529   486   419   154    74     6     0   1927
1699 1936      0     0     0    60   283   374   255   340   314    65     2     0   1695
1699 1937      0     0     1    71   309   415   421   223    84    61     3     0   1589
1699 1938      0     0     1    42   242   408   353   270   160    65     5     0   1546
1699 1939      0     0     0    45   272   324   792   404   202    65     8     0   2112
1699 1940      0     0     2    50   223   304   408   434   341    42     2     0   1806
1699 1941      0     0     0    16   284   337   552   426   256    56     4     0   1931
1699 1942      0     0     2    44   163   366   438   300   260    48     1     0   1622
1699 1943      0     0     3    90   306   418   471   191   183    53     4     0   1720
1699 1944      0     0     1    68   196   455   467   245    93    30     8     0   1562
1699 1945      0     0     1    67   154   507   449   305   153    26     3     0   1665
1699 1946      0     0     1    38   134   297   422   507   353    40     3     0   1796
1699 1947      0     0     0    20   257   392   665   319   172    21     1     0   1847
1699 1948      0     0     2    70   192   295   336   235   215    74     2     0   1420
1699 1949      0     0     1    28   235   305   189   218   251    99     2     0   1328
1699 1950      0     0     1    37   290   474   411   312   181    85     5     0   1794
1699 1951      0     0     1    43   312   286   246   253   236    94     6     0   1476
1699 1952      0     0     4   157   265   411   358   323   112    58     3     0   1691
1699 1953      0     0     1    45   256   460   378   224   232    19    15     0   1630
1699 1954      0     0     0    43   265   383   449   304   136    25     0     0   1605
1699 1955      0     0     0    64   232   366   487   228   205    68     1     0   1650
1699 1956      0     0     1    41   239   237   337   170   228    44     1     0   1296
1699 1957      0     0     3    98   197   358   571   520   303    54     3     0   2107
1699 1958      0     0     1    61   180   483   537   309   257    74     1     0   1902
1699 1959      0     0     0    41   298   392   500   480   373    45     7     0   2136
1699 1960      0     0     1    38   190   490   615   278   141    95     7     0   1856
1699 1961      0     0     2    76   227   382   565   176   308    85     1     0   1823
1699 1962      0     0     1    34   279   460   621   475   152    17     1     0   2040
1699 1963      0     0     1    27   214   649   532   461   231    29     1     0   2145
1699 1964      0     0     2   100   146   366   386   370   308    23     1     0   1703
1699 1965      0     0     1    72   111   369   599   409   245    48     2     0   1856
1699 1966      0     0     2    90   166   432   473   412   151    11     6     0   1743
1699 1967      0     0     5    84   226   335   511   530   302    38     4     0   2035
1699 1968      0     0     4    51   291   464   428   363   388    54     4     0   2047
1699 1969      0     0     1    48   264   410   623   412   266    29     3     0   2058
1699 1970      0     0     0    90   323   285   417   351   270    66    10     0   1813
1699 1971      0     0     0    33   230   206   347   322   179    35     4     0   1357
1699 1972      0     0     0    60   316   407   547   413   141    89     9     0   1982
1699 1973      0     0     0    24   112   436   305   319   115    55     1     0   1367
1699 1974      0     0     7    76   226   394   351   276   215    70     3     0   1617
1699 1975      0     0     4    49   205   449   530   222   152    40    13     0   1664
1699 1976      0     0     3   174   419   510   741   376   171    43     2     0   2439
1699 1977      0     0     0    72   172   423   726   593   297    46     2     0   2330
1699 1978      0     0     1    63   121   401   680   439   200    36     6     0   1946
1699 1979      0     0     2    52   306   459   403   437   236    82     4     0   1980
1699 1980      0     0     0   104   277   436   597   378   242    16     7     0   2057
1699 1981      0     0     3    53   161   444   455   388   154    60     2     0   1719
1699 1982      0     0     2    58   186   278   538   380   283   125     8     0   1858
1699 1983      0     0     2    50   216   574   633   343   214    54     4     0   2090
1699 1984      0     0     1    28   245   192   658   427   127    30     3     0   1713
1699 1985      0     0     1    26   105   519   480   241   206    49     2     0   1629
1699 1986      0     0     0    53   150   456   547   315   242    88     1     0   1854
1699 1987      0     0     3   123   203   318   597   387   227    48     6     0   1911
1699 1988      0     0     1    84   147   388   320   371   201    64     2     0   1578
1699 1989      0     0     3    68   190   670   354   213   173    58     4     0   1734
1699 1990      0     0     1    81   176   336   501   291   169    27     1     0   1582
1699 1991      0     0     1    48   334   311   509   261   185    67     7     0   1722
1699 1992      0     0     1    66   300   341   407   348   268   117    11     0   1860
1699 1993      0     0     1    67   281   437   536   310   201    38     6     0   1877
1699 1994      0     0     2    47   130   345   449   307   170    50     2     0   1502
1699 1995      0     0     1    59   252   416   478   329   310    83     1     0   1928
1699 1996      0     0     2    59   190   326   461   305   118   107     8     0   1577
1699 1997      0     0     0    62   284   459   370   319   233    73     1     0   1802
1699 1998      0     0     0    31   142   321   354   219   216    18     2     0   1303
1699 1999      0     0     3    58   185   408   386   220   133    67     1     0   1460
1699 2000      0     0     1    56   274   598 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1799 1930  -9999 -9999 -9999 -9999 -9999 -9999  1407  1198   969   651   369   123  -9999
1799 1931     31    61   185   451   701  1173  1135  1283  1153   718   374   151   7416
1799 1932     61    39   180   467   899  1134  1163  1109  1121   721   363   104   7360
1799 1933     58    64   207   555  1052  1532  1480  1540  1134   683   336   147   8787
1799 1934     41   116   148   625   801  1394  1594  1313  1126   753   463   147   8520
1799 1935     24    43   269   549   781  1401  1429  1382   908   778   392   132   8089
1799 1936     79    87   250   566  1004  1199  1188  1097  1167   709   327   116   7790
1799 1937     23    15   191   555   843  1311  1413  1236  1114   661   446    87   7895
1799 1938     39    27   262   461   807  1180  1447  1267  1263   839   444   166   8201
1799 1939     39    29   243   557   965  1252  1568  1218  1176   819   414   198   8479
1799 1940     43    85   241   640   884  1326  1521  1187  1204   617   385   122   8255
1799 1941     38   103   218   583   826  1192  1450  1281   949   676   340   131   7787
1799 1942     61    73   210   517   903  1411  1550  1222  1172   852   416   130   8515
1799 1943     40   101   282   535   896  1481  1375  1304  1179   817   316   162   8487
1799 1944     44    24   218   586   838  1340  1552  1246   900   598   516   185   8046
1799 1945     50    69   188   634   871  1389  1471  1356   849   776   420   143   8215
1799 1946     60    95   177   463   810  1281  1429  1177  1044   785   457   197   7975
1799 1947     21    39   201   367   901  1374  1554  1389  1139   747   491   205   8427
1799 1948     28    39   203   571   718  1155  1281  1186  1069   622   368    82   7321
1799 1949     14    37   246   456   931  1152  1284  1352  1215   760   379   129   7955
1799 1950     43    86   336   535   727  1147  1287  1135  1033   631   367   166   7492
1799 1951     37    72   206   518   904  1277  1340  1163  1063   664   452   101   7797
1799 1952      7    45   193   584   840  1147  1224  1117  1013   639   368   116   7294
1799 1953     32    69   193   498   721  1029  1506  1054  1074   709   443   138   7466
1799 1954     59    94   268   458   825  1198  1424  1167  1135   677   309   122   7736
1799 1955     14    36   251   541   891  1490  1211  1200  1261   780   539   134   8349
1799 1956     77    95   321   535   827  1230  1661  1133  1015   671   353    90   8008
1799 1957     48   106   181   503   754  1068  1239  1319   936   651   464   231   7499
1799 1958     51    64   226   615   850  1538  1431  1373  1123   685   288   210   8454
1799 1959     21    40   176   556   843  1163  1365  1063  1188   717   293    98   7524
1799 1960     42    51   216   606   777  1357  1613  1214  1116   747   444   121   8304
1799 1961     53    50    83   470   792  1223  1451  1398  1010   722   441   114   7806
1799 1962    100    81   288   571   915  1322  1367  1417  1108   722   406    88   8387
1799 1963     17   118   317   413   753  1531  1318  1231  1077   741   323   124   7963
1799 1964     40   157   312   571   888  1308  1518  1310  1076   766   372    92   8410
1799 1965     63    61   237   604   944  1254  1353  1225  1016   764   453   101   8074
1799 1966     41    58   291   558   756  1206  1304  1407  1252   791   577   101   8341
1799 1967     32    48   217   514   924  1233  1573  1374  1039   624   432   178   8189
1799 1968     20    91   161   447   937  1301  1369  1188  1117   735   406   102   7876
1799 1969     54    29   216   580   783  1190  1612  1222  1078   719   348   113   7946
1799 1970     18    40   226   480   809  1493  1646  1261  1098   750   385   101   8306
1799 1971     29    49   153   421   934  1302  1403  1306  1204   809   370   152   8133
1799 1972     37    74   213   654   948  1364  1359  1257   925   655   465   101   8055
1799 1973     14    25   257   544   894  1052  1410  1265  1092   687   516   134   7890
1799 1974     43    44   263   712   858  1150  1345  1258  1127   797   305   116   8018
1799 1975     17    54   268   526   742  1352  1570  1136  1086   636   392    57   7835
1799 1976     50    58   238   634   945  1476  1618  1269   898   711   330   182   8408
1799 1977     35    67   273   558   788  1306  1475  1351  1173   770   334   131   8261
1799 1978     33    52   318   603   936  1297  1360  1403   930   703   342   113   8091
1799 1979     18    83   239   563   724  1175  1370  1301  1109   666   383   162   7794
1799 1980     32    36   266   647   926  1492  1665   986   976   637   314   103   8080
1799 1981     31    71   261   628   859  1179  1699  1290  1119   773   381   207   8498
1799 1982     32   112   221   565   773  1117  1348  1166   978   671   444    95   7522
1799 1983     25    43   150   566   815  1309  1527  1008  1245   693   416   128   7926
1799 1984     27    31   281   528   823  1164  1615  1172  1056   703   392   182   7976
1799 1985     29    77   208   545   878  1408  1357  1270  1051   594   382   174   7973
1799 1986     65    88   305   591   957  1234  1478  1289  1043   618   377   119   8164
1799 1987     46    82   243   579   907  1205  1465  1208  1083   702   347   124   7991
1799 1988     19    31   263   654   791  1341  1341  1278  1169   781   311   113   8092
1799 1989     40    67   222   546   922  1727  1205  1233  1058   683   454   132   8290
1799 1990     27    33   241   478   805  1096  1473  1133   993   653   294    90   7316
1799 1991     32    38   277   513   811  1301  1432  1233  1179   787   415   127   8144
1799 1992     94    72   235   646   924  1211  1407  1481  1161   705   370   130   8436
1799 1993     35    41   241   680   861  1214  1718  1386  1081   705   451    84   8499
1799 1994     11    71   256   534   764  1141  1288  1331  1039   791   435    86   7747
1799 1995     18    53   313   448   931  1359  1475  1246  1144   712   449   122   8269
1799 1996     60    54   223   622   948  1044  1444  1165  1180   771   500   117   8127
1799 1997     32    67   254   619   932  1235  1325  1040   993   643   272   171   7583
1799 1998     34    43   204   562   848  1088  1429  1106   986   655   309    56   7321
1799 1999     15    56   110   634   742  1120  1447  1194   943   709   440   136   7544
1799 2000     77    74   260   575   814  1354 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1899 1930  -9999 -9999 -9999 -9999 -9999 -9999   962   814   809   428   138    13  -9999
1899 1931      0     2    12   216   420   713   659   710   846   461   147    11   4196
1899 1932      0     1    42   298   675   870   768   829   776   388    94     4   4745
1899 1933      0     1    28   338   689   910   883  1220   824   422   111     2   5429
1899 1934      0     5    37   342   537   944  1074   916   555   473   211    16   5108
1899 1935      0     2    81   296   512  1103  1160  1098   570   475   100    10   5408
1899 1936      0     0    29   262   679   864   738   860   804   433   122     4   4795
1899 1937      0     1    97   366   635   958   996   757   582   331   158    15   4897
1899 1938      0     1    74   287   537   913   952   737   673   439    95     3   4712
1899 1939      2     0    39   288   665   864  1341   879   851   531   145     8   5612
1899 1940      0     8    88   383   604   787  1045   957   880   265   101    14   5132
1899 1941      0     3    22   168   544   813  1026   950   645   302    76     6   4554
1899 1942      0     4    42   260   574  1039   997   830   712   519   116     1   5094
1899 1943      0     1    78   354   657   966   954   847   790   452    53     4   5157
1899 1944      0     1    47   346   620  1043  1164   862   401   296   191    13   4984
1899 1945      1     3    25   329   562  1082   954   817   465   386   131    18   4773
1899 1946      1    13    38   223   485   820   806  1007   869   340   135    17   4752
1899 1947      2     0    43   169   671   987  1209   891   608   363   139    10   5093
1899 1948      0     2    62   359   465   858   766   672   654   409   129     7   4383
1899 1949      0     4    93   186   614   834   647   839   805   473   150    16   4660
1899 1950      2     4    88   256   604  1024   915   827   704   392   137    12   4966
1899 1951      0     3    44   232   727   856   851   771   751   336   157     5   4732
1899 1952      0     2    62   394   579   883   826   719   641   375    63     6   4549
1899 1953      0     2    44   253   596   825   990   694   704   264   183    11   4567
1899 1954      0     2    23   213   669   938  1024   865   622   283    85    33   4757
1899 1955      0     0    48   255   672  1061  1032   756   762   432   160     9   5189
1899 1956      0     3    75   265   596   688  1084   752   699   289   102     3   4557
1899 1957      0     3    37   396   562   831  1043  1031   814   355   142    31   5244
1899 1958      0     4    62   302   550  1115  1046   846   708   297    70     5   5004
1899 1959      0     0    24   218   635   828   934   831  1015   253   170    15   4923
1899 1960      2     0    47   303   566  1149  1194   820   642   493   208    15   5440
1899 1961      0     0    13   264   531   976  1022   932   756   365    81     7   4947
1899 1962      4     3    97   263   691  1075  1126  1054   612   348   158    12   5445
1899 1963      1     7    97   222   518  1131   979   913   649   433   105     6   5061
1899 1964      0     5    46   393   511   847  1064   858   798   455    65    12   5055
1899 1965      0     2    32   365   585   824  1109   902   654   495   159     8   5135
1899 1966      0     2    83   365   575   941   862   969   740   345   268    15   5165
1899 1967      0     4    88   338   720   875  1102   972   603   352   204    14   5273
1899 1968      0     0    45   249   561   985  1028   906   798   315   109     5   5000
1899 1969      0     3    55   324   646  1014  1220   890   828   408    86     8   5480
1899 1970      0     1    18   220   567   901  1146   830   768   429   190     8   5077
1899 1971      1     4    21   169   610   700   914   918   724   438   141    35   4675
1899 1972      1     3    41   398   679   774   933   890   542   380   196     5   4843
1899 1973      0     0    31   239   530   862   837   874   624   304   141    30   4473
1899 1974      1     2    70   382   573   828   880   811   739   515    94     7   4902
1899 1975      1     1    92   206   458   901  1110   638   557   300   171     6   4442
1899 1976      3     5    70   427   765  1053  1352   853   518   289    81    19   5435
1899 1977      0     1    30   348   536   966  1170  1123   790   384   162    10   5522
1899 1978      2     0    46   341   545   837  1066  1163   590   409   119    23   5140
1899 1979      2     2    54   335   468   817  1014   972   758   340    93    21   4874
1899 1980      0     0    24   346   673   947  1171   762   744   269   153     7   5097
1899 1981      0     4    64   381   583   973  1238   844   711   443    84    20   5348
1899 1982      0     8    56   288   505   711   967   853   619   437   167     9   4620
1899 1983      0     0    40   292   554  1018  1159   707   846   418   148     5   5187
1899 1984      1     2    80   162   648   667  1143   833   614   247    88    16   4502
1899 1985      0     2    37   228   418   988   984   888   624   331    78     4   4584
1899 1986      0     5    33   246   634   857  1043   894   615   390    98     3   4818
1899 1987      0     1    46   439   539   827  1162   851   647   416   130     8   5065
1899 1988      0     0    84   455   579   923   880   847   702   411   168     6   5055
1899 1989      0     2    45   264   616  1265   761   652   559   348   162    10   4685
1899 1990      0     4    60   204   507   756   958   706   605   305    36     3   4145
1899 1991      0     0    47   265   581   845   930   760   727   376   187    28   4748
1899 1992      0     8    57   377   583   866   877   944   806   391    93     9   5011
1899 1993      0     0    41   322   597   945  1228   902   724   212   191     6   5167
1899 1994      0     4    56   317   438   745   880   942   592   368   133     8   4484
1899 1995      0     0    43   212   729  1021  1085   869   813   339   173     6   5290
1899 1996      1     3    41   300   740   799   985   688   615   416   190    17   4795
1899 1997      0     3    52   289   656   839   764   679   613   288    67     7   4257
1899 1998      0     0    14   269   541   715   915   774   733   342   102     9   4414
1899 1999      0     2    50   337   435   812  1018   743   539   375    93     3   4408
1899 2000      4     4    65   253   652  1125 -9999 -9999 -9999 -9999 -9999 -9999  -9999
1999 1930  -9999 -9999 -9999 -9999 -9999 -9999  1196  1060   888   542   248    60  -9999
1999 1931      3    14    71   350   580   974   914  1048   998   609   254    66   5882
1999 1932     11    12   117   369   774   986   954   970   972   612   205    34   6014
1999 1933      9    15    99   437   880  1234  1163  1389   977   561   203    40   7007
1999 1934      2    40    78   510   646  1148  1346  1102   861   615   334    71   6752
1999 1935      2    16   154   416   621  1206  1235  1251   741   646   206    52   6546
1999 1936      9    16   124   407   843   980   949   945  1016   632   231    51   6206
1999 1937      4     3   145   456   722  1113  1251  1002   846   517   324    55   6438
1999 1938      5     6   163   330   656  1034  1208   991  1029   681   270    59   6433
1999 1939      6     4   124   415   821  1071  1402  1068  1065   707   305    87   7076
1999 1940      7    40   149   541   749  1032  1294  1077  1051   450   227    45   6660
1999 1941      6    25    90   374   629   987  1226  1127   815   502   184    47   6012
1999 1942      7    21   108   385   733  1208  1296  1053   969   723   281    22   6807
1999 1943      3    22   142   410   744  1190  1148  1071  1005   671   149    54   6609
1999 1944      3     5    99   434   732  1152  1353  1063   653   425   347    68   6333
1999 1945      6    19    69   455   678  1230  1202  1125   634   620   292    62   6394
1999 1946     10    47    82   307   601  1019  1077  1060   923   598   296    92   6112
1999 1947      3     8    99   239   793  1156  1370  1159   902   571   328   115   6744
1999 1948      4     7   105   434   557   989   988   925   850   489   233    21   5603
1999 1949      0     9   141   293   729   979   958  1098  1045   632   319    54   6257
1999 1950      7    27   198   358   604  1026  1054   933   866   511   254    81   5919
1999 1951      4    25   108   377   770  1019  1074   975   924   494   319    40   6131
1999 1952      0    15   105   458   688   987  1021   898   840   537   237    38   5823
1999 1953      6    20    92   366   606   872  1261   867   873   522   336    64   5887
1999 1954     12    41   166   295   694  1024  1203   986   911   525   184    74   6116
1999 1955      1     7   140   380   759  1262  1133   979  1047   669   382    44   6804
1999 1956     14    20   204   421   666   963  1374   916   858   499   238    21   6194
1999 1957      6    36    89   423   618   867  1120  1175   856   533   340   125   6186
1999 1958      7    17   129   465   657  1297  1204  1131   928   532   178    83   6627
1999 1959      4     6    68   382   688   990  1161   908  1083   529   227    49   6095
