090140 KABY ABCD ALBANY 3 SE               GA
090211 KAMG ABCD ALMA BACON COUNTY AP      GA
090435 KAHN ABCD ATHENS BEN EPPS AP        GA
090451 KATL ABCD ATLANTA HARTSFIELD AP     GA
090495 KAGS ABCD AUGUSTA BUSH FIELD AP     GA
091345 KSSI ABCD BRUNSWICK MCKINNON AP     GA
092166 KCSG ABCD COLUMBUS METRO AP         GA
095443 KMCN ABCD MACON MIDDLE GA RGNL AP   GA
097600 KRMG ABCD ROME                      GA
097847 KSAV ABCD SAVANNAH MUNICIPAL AP     GA
101022 KBOI ABCD BOISE AIR TERMINAL        ID
101303 KBYI A-CD BURLEY MUNICIPAL AP       ID
103143 KP69 ABCD FENN RANGER STN (LOWELL)  ID
104457 KIDA A-CD IDAHO FALLS FANNING AP    ID
105241 KLWS A-CD LEWISTON AP               ID
105559 KMLD A-CD MALAD CITY AP             ID
105708 KMYL ABCD MCCALL                    ID
107211 KPIH A-CD POCATELLO RGNL AP         ID
109303 KTWF ABCD TWIN FALLS 6 E            ID
111549 KORD A-CD CHICAGO OHARE INTL AP     IL
111577 KMDW ABCD CHICAGO MIDWAY AP 3 SW    IL
115751 KMLI A-CD MOLINE QUAD CITY AP       IL
116711 KPIA A-CD PEORIA GTR PEORIA AP      IL
117072 KUIN A-CD QUINCY BALDWIN AP         IL
117382 KRFD A-CD ROCKFORD AP               IL
118179 KSPI A-CD SPRINGFIELD CAPITAL AP    IL
122738 KEVV ABCD EVANSVILLE INTL AP        IN
123037 KFWA A-CD FORT WAYNE BAER AP        IN
124259 KIND A-CD INDIANAPOLIS INTL AP      IN
128187 KSBN A-CD SOUTH BEND RGNL AP        IN
129424 KLAF A-CD WEST LAFAYETTE            IN
131060 KBRL ABCD BURLINGTON RADIO KBUR     IA
131314 KCID A-CD CEDAR RAPIDS AP           IA
132203 KDSM A-CD DES MOINES AP             IA
132367 KDBQ A-CD DUBUQUE AP                IA
135198 KMIW ABCD MARSHALLTOWN              IA
135235 KMCW A-CD MASON CITY AP             IA
136389 KOTM A-CD OTTUMWA AP                IA
137708 KSUX A-CD SIOUX CITY AP             IA
137844 KSPW A-CD SPENCER 1 N               IA
138706 KALO A-CD WATERLOO MUNICIPAL AP     IA
141427 KCNU A-CD CHANUTE JOHNSON AP        KS
141767 KCNK A-CD CONCORDIA BLOSSER AP      KS
142164 KDDC A-CD DODGE CITY RGNL AP        KS
142975 KGCK A-CD GARDEN CITY 9 ESE         KS
143153 KGLD A-CD GOODLAND RENNER AP        KS
145173 KP28 A-CD MEDICINE LODGE            KS
145856 KHLC ABCD NORTON 9 SSE (HILL CITY)  KS
147046 KRSL A-CD RUSSELL 1 E               KS
147160 KSLN A-CD SALINA MUNICIPAL AP       KS
148167 KTOP A-CD TOPEKA BILLARD MNCPL AP   KS
148830 KICT ABCD WICHITA MID-CONTINENT AP  KS
150909 KBWG ABCD BOWLING GREEN FAA AP      KY
151855 KCVG A-CD CINCINNATI COVINGTON AP   KY
153028 KFFT -BCD FRANKFORT LOCK 4          KY
154202 KJKL A-CD JACKSON CARROLL AP        KY
154746 KLEX A-CD LEXINGTON BLUE GRASS AP   KY
154898 KLOZ ABCD LONDON CORBIN AP          KY
154954 KSDF ABCD LOUISVILLE STANDIFORD AP  KY
156110 KPAH ABCD PADUCAH BARKLEY RGNL AP   KY
160098 KAEX ABCD ALEXANDRIA INTL AP        LA
160104 KESF -BCD ALEXANDRIA ESLER AP       LA
160549 KBTR ABCD BATON ROUGE RYAN AP       LA
161157 KBVE -B-- BOOTHVILLE                LA
165026 KLFT ABCD LAFAYETTE REG AP          LA
165078 KLCH ABCD LAKE CHARLES AP           LA
166303 KMLU ABCD MONROE RGNL AP            LA
166660 KMSY ABCD NEW ORLEANS INTL AP       LA
168440 KSHV ABCD SHREVEPORT AP             LA
168543 KLIX ABCD SLIDELL WSMO              LA
170275 KAUG A-CD AUGUSTA AP                ME
170355 KBGR A-CD BANGOR INTL AP            ME
171175 KCAR A-CD CARIBOU MUNICIPAL AP      ME
173892 KHUL A-CD HOULTON INTL AP           ME
175304 KMLT A-CD MILLINOCKET               ME
176905 KPWM A-CD PORTLAND INTL AP          ME
180465 KBWI ABCD BALTIMORE-WASHINGTON AP   MD
188005 KSBY ABCD SALISBURY FAA ARPT        MD
190736 KMQE A-CD BLUE HILL OBS MILTON      MA
190770 KBOS A-CD BOSTON LOGAN INTL AP      MA
191386 KCQX ABCD CHATHAM MUNICIPAL AP      MA
199923 KORH A-CD WORCESTER RGNL AP         MA
200164 KAPN A-CD ALPENA COLLINS AP         MI
202103 KDTW A-CD DETROIT METRO AP          MI
202846 KFNT A-CD FLINT BISHOP INTL AP      MI
203096 KGLR ABCD GAYLORD                   MI
203333 KGRR A-CD GRAND RAPIDS INTL AP      MI
203585 KP58 A-CD HARBOR BEACH 1 SSE        MI
203908 KCMX A-CD HOUGHTON CO AP (HANCOCK)  MI
203936 KHTL A-CD HOUGHTON LAKE ROSCOMMON   MI
204090 KIMT ABCD IRON MTN-KINGSFORD WWTP   MI
204150 KJXN A-CD JACKSON CO AP             MI
204641 KLAN A-CD LANSING CAPITAL CITY AP   MI
205184 KMQT A-CD MARQUETTE CO AP           MI
205650 KMTC A-CD MOUNT CLEMENS ANG BASE    MI
205712 KMKG A-CD MUSKEGON COUNTY AP        MI
206438 KPLN A-CD PELLSTON RGNL AP          MI
207227 KMBS A-CD SAGINAW TRI STATE AP      MI
207366 KANJ A-CD SAULT STE MARIE AP        MI
208251 KTVC A-CD TRAVERSE CITY AP          MI
210112 KAXN A-CD ALEXANDRIA CHANDLER AP    MN
212248 KDLH A-CD DULUTH INTL AP            MN
213730 KHIB A-CD HIBBING CHISHOLM AP       MN
214026 KINL A-CD INTL FALLS AP             MN
215435 KMSP A-CD MINNEAPOLIS INTL AP       MN
216360 KPKD ABCD PARK RAPIDS 2 S           MN
216835 KRWF A-CD REDWOOD FALLS MUNICIPAL   MN
217004 KRST A-CD ROCHESTER MUNICIPAL AP    MN
217294 KSTC A-CD ST CLOUD MUNICIPAL AP     MN
219170 KOTG ABCD WORTHINGTON 2 NNE         MN
223627 KGWO ABCD GREENWOOD LEFLORE AP      MS
224472 KJAN ABCD JACKSON THOMPSON AP       MS
225614 KMCB ABCD MCCOMB PIKE CO AP         MS
225776 KMEI ABCD MERIDIAN KEY AP           MS
229003 KTUP ABCD TUPELO RGNL AP            MS
231289 KCGI A-CD CAPE GIRARDEAU AP         MO
231791 KCOU A-CD COLUMBIA RGNL AP          MO
234315 KJLN ABCD JOPLIN RGNL AP            MO
234358 KMCI A-CD KANSAS CITY INTL AP       MO
234359 KMKC --CD KANSAS CITY DOWNTOWN AP   MO
234544 KIRK A-CD KIRKSVILLE                MO
236791 KPOF A-CD POPLAR BLUFF              MO
237435 KSTJ A-CD ST JOSEPH 4 WNW           MO
237455 KSTL A-CD ST LOUIS INTL AP          MO
237632 KDMO A-CD SEDALIA WATER PLANT       MO
237976 KSGF A-CD SPRINGFIELD REG AP        MO
238614 KVIH A-CD VICHY ROLLA NATL AP       MO
240622 KBZN A-CD BELGRADE AP (BOZEMAN)     MT
240807 KBIL A-CD BILLINGS INTL AP          MT
241318 KBTM A-CD BUTTE MOONEY AP           MT
242173 KCTB A-CD CUT BANK MUNICIPAL AP     MT
